product code,quantity,estimated delivery date,lodgement date,contract number,salesman number
E6N2308,750,2018-03-12,2018-02-28,CSE0000000,12110809
E9G8372,750,2018-02-05,2018-03-02,CSE0000000,11812628
M421X86,740,2018-02-23,2018-03-03,CSE0000000,11612519
SE17564,500,2018-02-19,2018-03-26,CSE0000000,12111414
L17546O,310,2017-07-25,2017-07-10,CSE0000001,12011919
D8150P6,610,2017-07-22,2017-08-07,CSE0000001,11311100
HD86793,160,2017-08-10,2017-08-15,CSE0000001,12011919
P41857Y,770,2017-08-07,2017-09-01,CSE0000001,11610329
HD86793,430,2017-07-13,2017-08-26,CSE0000001,11112326
SY73215,1000,2017-07-23,2017-08-19,CSE0000001,11610803
H7143H9,430,2017-07-18,2017-08-16,CSE0000001,11110725
B239N58,130,2017-08-19,2017-07-16,CSE0000001,12012220
S2180L4,1000,2017-09-01,2017-07-23,CSE0000001,11112911
C95F078,170,2017-08-25,2017-08-14,CSE0000001,12112727
MR92570,600,2017-07-13,2017-07-08,CSE0000001,11710106
M9J6453,300,2017-08-13,2017-07-20,CSE0000001,11211510
S5291W4,770,2017-08-17,2017-07-22,CSE0000001,11910621
T35X601,690,2017-08-02,2017-08-13,CSE0000001,12212123
D7903R1,780,2017-08-12,2017-07-08,CSE0000001,12111625
S86042Z,820,2017-08-24,2017-09-03,CSE0000001,12111906
S86042Z,180,2017-09-03,2017-08-19,CSE0000001,11711710
C3752Y9,150,2004-01-20,2004-01-18,CSE0000002,11711701
HD86793,780,2003-12-13,2003-12-26,CSE0000002,11510201
H8713D4,40,2003-12-02,2003-12-04,CSE0000002,11810914
A35J746,750,2018-05-31,2018-05-21,CSE0000003,11612521
D56294N,580,2018-05-11,2018-05-12,CSE0000003,12110421
I41V392,190,2018-06-21,2018-06-02,CSE0000003,11212200
L7B6430,900,2018-05-28,2018-06-03,CSE0000003,11411929
P1275R8,1000,2018-05-29,2018-05-09,CSE0000003,11611508
P4052D1,50,2018-06-18,2018-06-08,CSE0000003,11911204
D8150P6,240,2018-05-21,2018-06-10,CSE0000003,11411929
P20O395,130,2018-05-14,2018-05-05,CSE0000003,12012309
OP18549,540,2018-05-03,2018-06-06,CSE0000003,11612521
FK39705,710,2018-04-27,2018-06-18,CSE0000003,11210120
H5684K7,10,2018-06-06,2018-05-23,CSE0000003,12211614
M79W815,270,2001-06-21,2001-06-22,CSE0000004,11811426
T739U65,940,2001-06-25,2001-06-29,CSE0000004,11810625
D0Q2543,840,2001-07-10,2001-06-14,CSE0000004,11312521
HW53167,760,2001-07-05,2001-06-03,CSE0000004,11212008
C741G20,660,2001-06-28,2001-06-25,CSE0000004,11210622
T0E9518,860,2021-07-19,2021-06-19,CSE0000005,11311906
P968H24,70,2021-06-24,2021-05-28,CSE0000005,11211002
W08294X,470,2021-06-06,2021-07-03,CSE0000005,11612024
G053V91,80,2021-06-28,2021-06-30,CSE0000005,11312521
A08264O,590,2021-07-05,2021-06-11,CSE0000005,11910916
O8C6513,380,2021-06-01,2021-07-20,CSE0000005,11611210
S7K6834,420,2021-07-08,2021-07-18,CSE0000005,11610329
L47869Q,970,2021-07-07,2021-06-06,CSE0000005,11510416
AE80564,960,2021-06-03,2021-07-02,CSE0000005,11211510
L92148E,640,2021-06-21,2021-07-02,CSE0000005,11611627
C02614Q,320,2021-06-13,2021-06-27,CSE0000005,11910210
A392R56,920,2021-07-05,2021-07-12,CSE0000005,12111307
B830R57,110,2021-06-17,2021-07-16,CSE0000005,11411314
OP18549,900,2015-04-13,2015-03-31,CSE0000006,11611227
F8E7125,670,2015-03-15,2015-04-09,CSE0000006,11911804
R243J08,540,2010-10-23,2010-09-23,CSE0000007,12111613
T67P542,580,2000-11-17,2000-11-24,CSE0000008,11511523
L0528N6,520,2000-11-27,2000-11-23,CSE0000008,11510013
A273M51,30,2003-06-07,2003-05-28,CSE0000009,12211518
T67P542,270,2003-05-14,2003-06-28,CSE0000009,11210008
YS95071,240,2003-06-15,2003-05-22,CSE0000009,11612609
M328K91,30,2003-05-31,2003-05-02,CSE0000009,11510326
HI14706,150,2003-06-13,2003-06-25,CSE0000009,11710803
A37260X,530,2003-05-17,2003-05-02,CSE0000009,11612301
C48967S,240,2003-05-30,2003-06-10,CSE0000009,11611811
M97X845,750,2003-05-03,2003-05-19,CSE0000009,11510305
E7R6098,480,2003-05-24,2003-05-20,CSE0000009,11810112
O032T69,160,2003-05-05,2003-05-25,CSE0000009,11511922
DR28405,860,2003-05-25,2003-06-22,CSE0000009,11710512
F76983D,610,2013-05-18,2013-06-28,CSE0000010,11712202
R5F0782,960,2018-01-06,2018-01-07,CSE0000011,11512408
MM72065,220,2017-12-12,2018-01-07,CSE0000011,11812006
DT47956,480,2017-12-14,2018-01-26,CSE0000011,11611101
M713N46,350,2018-01-01,2018-02-03,CSE0000011,11112918
D0Q2543,600,2017-12-28,2018-02-05,CSE0000011,11710029
P8130N9,930,2018-01-12,2018-02-06,CSE0000011,12011319
P7604Q5,850,2018-01-28,2018-01-26,CSE0000011,11112316
T28310Y,560,2018-01-22,2018-02-07,CSE0000011,12212006
WJ50817,130,2021-01-30,2021-02-20,CSE0000012,11512118
D50A198,380,2021-01-12,2021-02-15,CSE0000012,11411901
C96H382,350,2021-02-24,2021-02-27,CSE0000012,12212215
G21467A,970,2021-02-14,2021-03-01,CSE0000012,12112001
RC12709,640,2021-02-23,2021-02-25,CSE0000012,11412713
